"","사고년도","사고유형구분","시도시군구명","사고지역위치명","발생건수","사상자수","사망자수","중상자수","경상자수","부상자수","위도","경도","시도"
"1",2012,"스쿨존어린이","서울특별시 종로구1","서울특별시 종로구 혜화동(혜화초교 부근)",2,2,0,1,1,0,37.58841291,126.9996071,"서울"
"2",2012,"스쿨존어린이","서울특별시 성북구1","서울특별시 성북구 종암동(숭례초교 부근)",2,2,0,0,1,1,37.59550472,127.03573324,"서울"
"3",2012,"스쿨존어린이","서울특별시 성북구2","서울특별시 성북구 동소문동7가(정덕초교 부근)",2,2,0,2,0,0,37.59757144,127.01456358,"서울"
"4",2012,"스쿨존어린이","서울특별시 성북구3","서울특별시 성북구 석관동(석관초교 부근)",3,3,0,2,1,0,37.61042892,127.05959562,"서울"
"5",2012,"스쿨존어린이","서울특별시 도봉구1","서울특별시 도봉구 쌍문동(쌍문초교 부근)",2,2,0,0,2,0,37.64812892,127.02442976,"서울"
"6",2012,"스쿨존어린이","서울특별시 노원구1","서울특별시 노원구 상계동(동일초교 부근)",2,2,1,1,0,0,37.66443684,127.05682802,"서울"
"7",2012,"스쿨존어린이","서울특별시 구로구1","서울특별시 구로구 개봉동(개봉초교 부근)",2,3,0,1,0,2,37.48993952,126.8569301,"서울"
"8",2012,"스쿨존어린이","서울특별시 구로구2","서울특별시 구로구 개봉동(매봉초교 부근)",2,2,0,1,1,0,37.50392059,126.84583064,"서울"
"9",2012,"스쿨존어린이","서울특별시 송파구1","서울특별시 송파구 방이동(방산초교 부근)",2,2,0,0,2,0,37.50979654,127.12210103,"서울"
"10",2012,"스쿨존어린이","부산광역시 남구1","부산광역시 남구 용호동(용호초교 부근)",2,2,0,1,1,0,35.1225485,129.10966022,"부산"
"11",2012,"스쿨존어린이","부산광역시 남구2","부산광역시 남구 용호동(분포초교 부근)",2,2,0,1,1,0,35.12877156,129.11366244,"부산"
"12",2012,"스쿨존어린이","부산광역시 해운대구1","부산광역시 해운대구 반여동(장산초교 부근)",2,2,0,2,0,0,35.19955555,129.11910749,"부산"
"13",2012,"스쿨존어린이","부산광역시 금정구1","부산광역시 금정구 남산동(남산초교 부근)",3,3,0,1,1,1,35.26277537,129.08819714,"부산"
"14",2012,"스쿨존어린이","대구광역시 달서구1","대구광역시 달서구 두류동(성남초교 부근)",2,2,0,0,2,0,35.85302603,128.57150657,"대구"
"15",2012,"스쿨존어린이","광주광역시 북구1","광주광역시 북구 양산동(양산초교 부근)",2,2,0,1,1,0,35.20643137,126.87286938,"광주"
"16",2012,"스쿨존어린이","광주광역시 광산구1","광주광역시 광산구 운남동(금구초교 부근)",2,2,0,1,1,0,35.17766246,126.81490782,"광주"
"17",2012,"스쿨존어린이","대전광역시 대덕구1","대전광역시 대덕구 중리동(대전용전초교 부근)",2,2,0,1,1,0,36.3559508,127.43007758,"대전"
"18",2012,"스쿨존어린이","경기도 수원시 영통구1","경기도 수원시 영통구 매탄동(매탄초교 효동초교 부근)",2,2,0,1,1,0,37.26266404,127.04464749,"경기"
"19",2012,"스쿨존어린이","경기도 의정부시1","경기도 의정부시 장암동(동암초교 부근)",2,2,0,1,1,0,37.72334512,127.05349682,"경기"
"20",2012,"스쿨존어린이","경기도 부천시 원미구1","경기도 부천시 원미구 상동(송내초교 부근)",2,2,0,1,1,0,37.490115,126.76012163,"경기"
"21",2012,"스쿨존어린이","경기도 평택시1","경기도 평택시 장당동(장당초교 부근)",2,2,0,1,1,0,37.05039551,127.05735663,"경기"
"22",2012,"스쿨존어린이","경기도 안산시 단원구1","경기도 안산시 단원구 선부동(화랑초교 부근)",2,2,0,1,1,0,37.3314114,126.81807315,"경기"
"23",2012,"스쿨존어린이","경기도 안산시 단원구2","경기도 안산시 단원구 선부동(안산화정초교 부근)",3,3,0,2,1,0,37.3453435,126.81646112,"경기"
"24",2012,"스쿨존어린이","경기도 남양주시1","경기도 남양주시 가운동(가운초교 부근)",2,2,0,0,2,0,37.60065299,127.15688785,"경기"
"25",2012,"스쿨존어린이","강원도 동해시1","강원도 동해시 쇄운동(청운초교 부근)",2,2,0,1,1,0,37.48569878,129.10513716,"강원"
"26",2012,"스쿨존어린이","전라남도 광양시1","전라남도 광양시 중동(백운초교 부근)",2,2,0,0,2,0,34.9370074,127.69148092,"전라남도"
"27",2012,"스쿨존어린이","경상북도 구미시1","경상북도 구미시 사곡동(구미사곡초교 부근)",2,2,0,0,2,0,36.09896837,128.36014785,"경상북도"
"28",2012,"스쿨존어린이","경상북도 예천군1","경상북도 예천군 풍양면(풍양초교 부근)",3,3,0,0,3,0,36.51129446,128.30056732,"경상북도"
